rolname,rolsuper,rolcreaterole,rolcreatedb,rolcanlogin
pg_database_owner,false,false,false,false
pg_read_all_data,false,false,false,false
pg_write_all_data,false,false,false,false
pg_monitor,false,false,false,false
pg_read_all_settings,false,false,false,false
pg_read_all_stats,false,false,false,false
pg_stat_scan_tables,false,false,false,false
pg_read_server_files,false,false,false,false
pg_write_server_files,false,false,false,false
pg_execute_server_program,false,false,false,false
pg_signal_backend,false,false,false,false
pg_checkpoint,false,false,false,false
pg_use_reserved_connections,false,false,false,false
pg_create_subscription,false,false,false,false
postgres,true,true,true,true
jkr_admin,false,true,false,true
jkr_viewer,false,false,false,false
jkr_editor,false,false,false,false
member,role
pg_monitor,pg_read_all_settings
pg_monitor,pg_read_all_stats
pg_monitor,pg_stat_scan_tables
jkr_editor,jkr_viewer
jkr_admin,jkr_viewer
jkr_admin,jkr_editor
